requested_mean_accuracy_pct	maximum_accuracy_pct	requested_accuracy_sd_pct	read_depth	actual_reads	empirical_mean_identity_pct	empirical_sd_identity_pct	empirical_min_identity_pct	empirical_max_identity_pct	fraction_reads_identity_ge_98
96	99.990000	2.500000	300	300	96.058673	2.591382	85.304000	99.711000	0.213333
96	99.990000	2.500000	1318	1318	96.034754	2.490485	85.304000	99.783000	0.216995
96	99.990000	2.500000	5792	5792	95.899379	2.518481	78.630000	99.857000	0.205801
96	99.990000	2.500000	25450	25450	95.952421	2.502110	78.630000	99.858000	0.213870
96	99.990000	2.500000	111828	111828	95.958894	2.500854	78.330000	99.928000	0.214955
97	99.990000	2.500000	300	300	96.998367	2.219837	89.266000	100.000000	0.406667
97	99.990000	2.500000	1318	1318	96.923059	2.477153	83.989000	100.000000	0.418058
97	99.990000	2.500000	5792	5792	96.927403	2.498374	81.894000	100.000000	0.418336
97	99.990000	2.500000	25450	25450	96.958814	2.463503	79.695000	100.000000	0.420943
97	99.990000	2.500000	111828	111828	96.971708	2.472425	71.297000	100.000000	0.426611
98	99.990000	2.500000	300	300	97.861947	2.589592	86.822000	100.000000	0.670000
98	99.990000	2.500000	1318	1318	97.923260	2.461826	75.274000	100.000000	0.641123
98	99.990000	2.500000	5792	5792	97.960521	2.464493	75.274000	100.000000	0.652970
98	99.990000	2.500000	25450	25450	97.943165	2.515684	67.337000	100.000000	0.653438
98	99.990000	2.500000	111828	111828	97.946905	2.520205	67.337000	100.000000	0.654237
99	99.990000	2.500000	300	300	99.022620	2.014077	85.535000	100.000000	0.860000
99	99.990000	2.500000	1318	1318	98.983168	2.316840	71.053000	100.000000	0.857360
99	99.990000	2.500000	5792	5792	99.038370	2.295860	62.575000	100.000000	0.862569
99	99.990000	2.500000	25450	25450	98.990594	2.460067	53.966000	100.000000	0.859371
99	99.990000	2.500000	111828	111828	98.977473	2.514406	53.966000	100.000000	0.858166
