requested_mean_accuracy_pct	read_depth	truth_asv	simulated_reads	realized_read_fraction	mapping_derived_expected_fraction
96	300	Salmonella_5;size=5	16	0.053333333	0.053494860
96	300	Enterococcus_4;size=4	48	0.160000000	0.119606589
96	300	Staphylococcus_4;size=4	34	0.113333333	0.145715373
96	300	Bacillus_4_5;size=3	13	0.043333333	0.052407473
96	300	Bacillus_7;size=2	10	0.033333333	0.032354825
96	300	Escherichia_5;size=2	5	0.016666667	0.015738787
96	300	Listeria_2_5;size=2	24	0.080000000	0.082763194
96	300	Listeria_6;size=2	18	0.060000000	0.057876999
96	300	Bacillus_1;size=1	3	0.010000000	0.017421939
96	300	Bacillus_3;size=1	4	0.013333333	0.017481012
96	300	Bacillus_8;size=1	10	0.033333333	0.034161582
96	300	Bacillus_9;size=1	6	0.020000000	0.030173660
96	300	Escherichia_1;size=1	2	0.006666667	0.010620732
96	300	Escherichia_2;size=1	2	0.006666667	0.007943996
96	300	Escherichia_4;size=1	5	0.016666667	0.008495828
96	300	Escherichia_6;size=1	0	0.000000000	0.008443602
96	300	Escherichia_7;size=1	2	0.006666667	0.010053384
96	300	Lactobacillus_1;size=1	7	0.023333333	0.025843540
96	300	Lactobacillus_2;size=1	8	0.026666667	0.026139039
96	300	Lactobacillus_3;size=1	16	0.053333333	0.041561596
96	300	Lactobacillus_4;size=1	15	0.050000000	0.037088370
96	300	Lactobacillus_5;size=1	15	0.050000000	0.036662349
96	300	Listeria_1;size=1	13	0.043333333	0.034998090
96	300	Pseudomonas_1_2_3_4;size=1	4	0.013333333	0.014259479
96	300	Salmonella_7;size=1	4	0.013333333	0.010762062
96	300	Staphylococcus_2;size=1	4	0.013333333	0.034441201
96	300	Staphylococcus_3;size=1	12	0.040000000	0.033490437
96	1318	Salmonella_5;size=5	73	0.055386950	0.053494860
96	1318	Enterococcus_4;size=4	164	0.124430956	0.119606589
96	1318	Staphylococcus_4;size=4	193	0.146433991	0.145715373
96	1318	Bacillus_4_5;size=3	61	0.046282246	0.052407473
96	1318	Bacillus_7;size=2	37	0.028072838	0.032354825
96	1318	Escherichia_5;size=2	24	0.018209408	0.015738787
96	1318	Listeria_2_5;size=2	108	0.081942337	0.082763194
96	1318	Listeria_6;size=2	84	0.063732929	0.057876999
96	1318	Bacillus_1;size=1	17	0.012898331	0.017421939
96	1318	Bacillus_3;size=1	13	0.009863429	0.017481012
96	1318	Bacillus_8;size=1	40	0.030349014	0.034161582
96	1318	Bacillus_9;size=1	42	0.031866464	0.030173660
96	1318	Escherichia_1;size=1	17	0.012898331	0.010620732
96	1318	Escherichia_2;size=1	8	0.006069803	0.007943996
96	1318	Escherichia_4;size=1	19	0.014415781	0.008495828
96	1318	Escherichia_6;size=1	7	0.005311077	0.008443602
96	1318	Escherichia_7;size=1	24	0.018209408	0.010053384
96	1318	Lactobacillus_1;size=1	28	0.021244310	0.025843540
