rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Salmonella_5;size=5	1	1363	166	1363	100	164.82	75.4	59.6
Enterococcus_4;size=4	1	1381	119	1381	100	118.819	77.1	59.5
Staphylococcus_4;size=4	1	1372	786	1372	100	784.168	75.2	38.3
Bacillus_4_5;size=3	1	1370	176	1370	100	175.52	73.4	14.5
Bacillus_7;size=2	1	1370	99	1370	100	98.8131	75.8	14.6
Escherichia_5;size=2	1	1363	119	1363	100	118.775	77	18.1
Listeria_2_5;size=2	1	1370	234	1370	100	233.45	75.1	16.4
Listeria_6;size=2	1	1370	112	1370	100	111.772	74.2	16.7
Bacillus_1;size=1	1	1370	48	1370	100	47.8482	71.9	13.5
Bacillus_3;size=1	1	1370	23	1370	100	22.9723	81	14.8
Bacillus_8;size=1	1	1370	47	1370	100	46.9438	82.3	30.2
Bacillus_9;size=1	1	1370	53	1370	100	52.7431	75.6	19
Escherichia_1;size=1	1	1363	61	1363	100	60.8782	76.9	59
Escherichia_2;size=1	1	1363	72	1363	100	71.8393	78.3	17.9
Escherichia_4;size=1	1	1363	46	1363	100	45.9435	81.8	60
Escherichia_6;size=1	1	1363	40	1363	100	39.9244	78.3	59.9
Escherichia_7;size=1	1	1363	48	1363	100	47.9164	80.6	58.8
Lactobacillus_1;size=1	1	1406	130	1406	100	129.683	75.4	53.7
Lactobacillus_2;size=1	1	1396	94	1396	100	93.7557	78.2	32.8
Lactobacillus_3;size=1	1	1396	117	1396	100	116.76	73.8	29
Lactobacillus_4;size=1	1	1396	133	1396	100	132.731	74.6	37.2
Lactobacillus_5;size=1	1	1396	89	1396	100	88.4413	72.2	43.4
Listeria_1;size=1	1	1370	77	1370	100	76.8182	73	18.4
Pseudomonas_1_2_3_4;size=1	1	1357	267	1357	100	266.335	75.7	60
Salmonella_7;size=1	1	1363	16	1363	100	15.9699	73.1	60
Staphylococcus_2;size=1	1	1372	207	1372	100	206.529	74.5	49.4
Staphylococcus_3;size=1	1	1372	157	1372	100	156.679	75.2	40.3
