rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Salmonella_5;size=5	1	1363	5687	1363	100	5673.77	76.4	59.9
Enterococcus_4;size=4	1	1381	3978	1381	100	3967.24	75.3	59.9
Staphylococcus_4;size=4	1	1372	25531	1372	100	25472.4	75.7	38.3
Bacillus_4_5;size=3	1	1370	5549	1370	100	5537.13	75.5	14.5
Bacillus_7;size=2	1	1370	3005	1370	100	2998.25	75.1	14.6
Escherichia_5;size=2	1	1363	3690	1363	100	3682.97	77.1	18.3
Listeria_2_5;size=2	1	1370	6992	1370	100	6976.5	75.4	16.1
Listeria_6;size=2	1	1370	4071	1370	100	4061.8	75.3	16.7
Bacillus_1;size=1	1	1370	1280	1370	100	1276.44	75.1	14
Bacillus_3;size=1	1	1370	992	1370	100	989.807	74.7	15.2
Bacillus_8;size=1	1	1370	1480	1370	100	1476.7	75.4	30.1
Bacillus_9;size=1	1	1370	1719	1370	100	1714.21	74.6	18.5
Escherichia_1;size=1	1	1363	1816	1363	100	1812.14	76.4	59.7
Escherichia_2;size=1	1	1363	1919	1363	100	1915.02	76.1	18.1
Escherichia_4;size=1	1	1363	1458	1363	100	1454.73	77	59.3
Escherichia_6;size=1	1	1363	1460	1363	100	1455.84	75.7	59.6
Escherichia_7;size=1	1	1363	1500	1363	100	1496.4	76.1	59.2
Lactobacillus_1;size=1	1	1406	3542	1406	100	3533.8	75.4	53.9
Lactobacillus_2;size=1	1	1396	2692	1396	100	2684.55	75.4	33.3
Lactobacillus_3;size=1	1	1396	4063	1396	100	4051.76	76.1	28.7
Lactobacillus_4;size=1	1	1396	3919	1396	100	3910.73	75.3	36.7
Lactobacillus_5;size=1	1	1396	2664	1396	100	2655.52	75.1	44
Listeria_1;size=1	1	1370	2743	1370	100	2736.5	75.4	18
Pseudomonas_1_2_3_4;size=1	1	1357	8614	1357	100	8594.02	76.5	60
Salmonella_7;size=1	1	1363	598	1363	100	594.758	77.6	59.4
Staphylococcus_2;size=1	1	1372	6126	1372	100	6113.22	75.7	49.2
Staphylococcus_3;size=1	1	1372	4750	1372	100	4735.91	75.2	40.9
