rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Salmonella_5;size=5	1	1363	1381	1363	100	1373.83	43.8	58
Enterococcus_4;size=4	1	1381	3050	1381	100	3034.19	43.9	59.1
Staphylococcus_4;size=4	1	1372	3664	1372	100	3646.35	44.1	32.9
Bacillus_4_5;size=3	1	1370	1346	1370	100	1340.73	43.1	11.5
Bacillus_7;size=2	1	1370	857	1370	100	852.467	43.1	12.1
Escherichia_5;size=2	1	1363	411	1363	100	409.43	43.9	18.3
Listeria_2_5;size=2	1	1370	2134	1370	100	2124.06	43.1	14.3
Listeria_6;size=2	1	1370	1524	1370	100	1517.99	43.3	15.8
Bacillus_1;size=1	1	1370	433	1370	100	431.478	43.1	11.4
Bacillus_3;size=1	1	1370	430	1370	100	426.955	42.6	13.8
Bacillus_8;size=1	1	1370	882	1370	100	875.947	43	23
Bacillus_9;size=1	1	1370	744	1370	100	740.22	43.1	9.72
Escherichia_1;size=1	1	1363	291	1363	100	288.071	43.5	47.9
Escherichia_2;size=1	1	1363	191	1363	100	190.228	43.5	17.4
Escherichia_4;size=1	1	1363	252	1363	100	251.131	43.9	51.3
Escherichia_6;size=1	1	1363	207	1363	100	204.763	43.6	54.6
Escherichia_7;size=1	1	1363	271	1363	100	268.951	43.9	48.3
Lactobacillus_1;size=1	1	1406	668	1406	100	660.302	42	39
Lactobacillus_2;size=1	1	1396	613	1396	100	607.319	42	23.3
Lactobacillus_3;size=1	1	1396	1076	1396	100	1066.2	42.1	22
Lactobacillus_4;size=1	1	1396	911	1396	100	903.78	42.1	33.1
Lactobacillus_5;size=1	1	1396	916	1396	100	910.134	42.2	39.4
Listeria_1;size=1	1	1370	873	1370	100	866.31	43.4	15.4
Pseudomonas_1_2_3_4;size=1	1	1357	355	1357	100	352.345	43.6	59.8
Salmonella_7;size=1	1	1363	275	1363	100	272.122	43.8	53.3
Staphylococcus_2;size=1	1	1372	857	1372	100	854.095	44.1	41.4
Staphylococcus_3;size=1	1	1372	842	1372	100	836.713	44.1	27.9
