rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Salmonella_5;size=5	1	1363	20	1363	100	19.9633	73.7	60
Enterococcus_4;size=4	1	1381	26	1381	100	25.9638	79.2	60
Staphylococcus_4;size=4	1	1372	124	1372	100	123.803	80.3	37.8
Bacillus_4_5;size=3	1	1370	35	1370	100	34.8942	67	14.6
Bacillus_7;size=2	1	1370	23	1370	100	22.9759	83.2	14.7
Escherichia_5;size=2	1	1363	24	1363	100	23.967	79.8	17.8
Listeria_2_5;size=2	1	1370	34	1370	100	33.9219	73	16.1
Listeria_6;size=2	1	1370	17	1370	100	16.9453	70	17.1
Bacillus_1;size=1	1	1370	5	1370	100	4.97591	54.3	15.8
Bacillus_3;size=1	1	1370	5	1370	100	4.99708	86.2	14.4
Bacillus_8;size=1	1	1370	12	1370	100	11.9934	85.6	30
Bacillus_9;size=1	1	1370	9	1370	100	8.86788	66.5	17.7
Escherichia_1;size=1	1	1363	13	1363	100	12.9751	71	60
Escherichia_2;size=1	1	1363	13	1363	100	12.9464	75.5	19
Escherichia_4;size=1	1	1363	7	1363	100	6.9956	88.9	60
Escherichia_6;size=1	1	1363	4	1363	100	4	92.8	60
Escherichia_7;size=1	1	1363	3	1363	100	2.99853	89.3	60
Lactobacillus_1;size=1	1	1406	15	1406	100	14.9915	83.7	54.6
Lactobacillus_2;size=1	1	1396	20	1396	100	19.9792	80.2	32.6
Lactobacillus_3;size=1	1	1396	11	1396	100	10.9728	63.8	30.6
Lactobacillus_4;size=1	1	1396	22	1396	100	21.9642	78.8	37.5
Lactobacillus_5;size=1	1	1396	10	1396	100	9.94341	72.2	42.1
Listeria_1;size=1	1	1370	18	1370	100	17.9423	70.2	18.9
Pseudomonas_1_2_3_4;size=1	1	1357	48	1357	100	47.888	75.4	60
Salmonella_7;size=1	1	1363	3	1363	100	2.99927	92.8	60
Staphylococcus_2;size=1	1	1372	34	1372	100	33.949	75.2	49.3
Staphylococcus_3;size=1	1	1372	34	1372	100	33.8929	70.9	40.4
