rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Bacillus_10;size=1	1	4210	11	4210	100	10.9694	76.2	6
Bacillus_1;size=1	1	4210	14	4210	100	13.938	65.3	5.29
Bacillus_2;size=1	1	4387	9	4387	100	8.99065	81.4	13
Bacillus_3;size=1	1	4387	6	4387	100	5.97743	60.4	14
Bacillus_4_5;size=1	1	4210	31	4210	100	30.9297	74.4	5.16
Bacillus_6;size=1	1	4210	10	4210	100	9.98147	78.3	6.9
Bacillus_7;size=1	1	4210	12	4210	100	11.9641	72.2	5.08
Bacillus_8;size=1	1	4210	12	4210	100	11.9627	69.9	22.3
Bacillus_9;size=1	1	4210	19	4210	100	18.9449	67.3	21.6
Enterococcus_1;size=1	1	4364	3	4364	100	2.99771	75.1	32
Enterococcus_2;size=1	1	4364	8	4364	100	7.98786	78	32.8
Enterococcus_3;size=1	1	4262	12	4262	100	11.9378	65.2	4.67
Enterococcus_4;size=1	1	4262	9	4262	100	8.96879	68.9	6.11
Escherichia_1;size=1	1	4451	17	4451	100	16.989	89.1	60
Escherichia_2;size=1	1	4358	24	4358	100	23.9523	74	6.04
Escherichia_3;size=1	1	4358	14	4358	100	13.9718	77	6.21
Escherichia_4;size=1	1	4452	11	4452	100	10.9677	70.5	60
Escherichia_5;size=1	1	4358	12	4358	100	11.9649	70.2	5.92
Escherichia_6;size=1	1	4441	9	4441	100	8.9946	79.6	60
Escherichia_7;size=1	1	4435	10	4435	100	9.96009	63.3	60
Lactobacillus_1;size=1	1	4268	26	4268	100	25.9426	71.2	57.1
Lactobacillus_2;size=1	1	4453	18	4453	100	17.9659	74.8	60
Lactobacillus_3;size=1	1	4258	32	4258	100	31.8936	74.6	53.7
Lactobacillus_4;size=1	1	4258	36	4258	100	35.914	77.9	56.4
Lactobacillus_5;size=1	1	4453	23	4453	100	21.2901	64.2	55.5
Listeria_1;size=1	1	4291	24	4291	100	23.9107	69.4	6.46
Listeria_2_5;size=1	1	4291	46	4291	100	45.9142	77.9	5.43
Listeria_3;size=1	1	4542	14	4542	100	13.9767	70.6	4.93
Listeria_4;size=1	1	4542	14	4542	100	13.9897	86.9	5.14
Listeria_6;size=1	1	4291	13	4291	100	12.9643	73.9	4.69
Pseudomonas_1_2_3_4;size=1	1	4456	81	4456	100	80.8149	75.7	60
Salmonella_1;size=1	1	4360	11	4360	100	10.9846	79.2	5.18
Salmonella_2_4;size=1	1	4360	18	4360	100	17.9521	69	4
Salmonella_3;size=1	1	4519	2	4519	100	1.99734	67	21.5
Salmonella_5;size=1	1	4519	7	4519	100	6.99115	81.6	20.1
Salmonella_6;size=1	1	4360	11	4360	100	10.978	74.8	7.45
Salmonella_7;size=1	1	4619	8	4619	100	7.99524	90.5	60
Staphylococcus_1;size=1	1	4466	57	4466	100	56.9118	78.7	50.9
Staphylococcus_2;size=1	1	4512	60	4512	100	59.8497	74	58.6
Staphylococcus_3;size=1	1	4516	47	4516	100	46.915	79.7	59.4
Staphylococcus_4;size=1	1	4391	61	4391	100	60.8839	77.3	39.1
Staphylococcus_5;size=1	1	4424	54	4424	100	53.8438	69.8	51.9
Staphylococcus_6;size=1	1	4483	50	4483	100	49.8891	75.2	60
