rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Bacillus_10;size=1	1	4210	8	4210	100	7.98812	82.6	5.62
Bacillus_1;size=1	1	4210	8	4210	100	7.95036	56.3	5.12
Bacillus_2;size=1	1	4387	3	4387	100	2.99909	87.6	12.7
Bacillus_3;size=1	1	4387	5	4387	100	4.97948	62.6	14
Bacillus_4_5;size=1	1	4210	19	4210	100	18.9451	74.3	5
Bacillus_6;size=1	1	4210	4	4210	100	3.98789	67.4	8
Bacillus_7;size=1	1	4210	8	4210	100	7.98907	83	5.25
Bacillus_8;size=1	1	4210	9	4210	100	8.9867	75.3	21.4
Bacillus_9;size=1	1	4210	13	4210	100	12.9501	60.2	22
Enterococcus_1;size=1	1	4364	2	4364	100	1.99908	78.8	33
Enterococcus_2;size=1	1	4364	4	4364	100	3.9984	82.3	31.5
Enterococcus_3;size=1	1	4262	6	4262	100	5.98287	69.6	5.67
Enterococcus_4;size=1	1	4262	6	4262	100	5.96926	59.1	6.67
Escherichia_1;size=1	1	4451	12	4451	100	11.9937	89.2	60
Escherichia_2;size=1	1	4358	15	4358	100	14.9759	72.8	6.2
Escherichia_3;size=1	1	4358	6	4358	100	5.99656	88.6	6
Escherichia_4;size=1	1	4452	10	4452	100	9.98158	74.9	60
Escherichia_5;size=1	1	4358	6	4358	100	5.98164	77.8	6.5
Escherichia_6;size=1	1	4441	8	4441	100	7.99505	78.1	60
Escherichia_7;size=1	1	4435	6	4435	100	5.97835	69.5	60
Lactobacillus_1;size=1	1	4268	17	4268	100	16.9639	69.3	57.2
Lactobacillus_2;size=1	1	4453	10	4453	100	9.97462	68.8	60
Lactobacillus_3;size=1	1	4258	23	4258	100	22.914	71	53.4
Lactobacillus_4;size=1	1	4258	13	4258	100	12.9756	76.1	57.3
Lactobacillus_5;size=1	1	4453	15	4453	100	13.3088	64.6	53.1
Listeria_1;size=1	1	4291	16	4291	100	15.9326	69.9	6.38
Listeria_2_5;size=1	1	4291	26	4291	100	25.9494	76.5	5.62
Listeria_3;size=1	1	4542	9	4542	100	8.98371	69.2	4.44
Listeria_4;size=1	1	4542	8	4542	100	7.99626	88.2	5.12
Listeria_6;size=1	1	4291	9	4291	100	8.9697	77.5	5.22
Pseudomonas_1_2_3_4;size=1	1	4456	53	4456	100	52.9224	78.8	60
Salmonella_1;size=1	1	4360	5	4360	100	4.99197	83.5	5.2
Salmonella_2_4;size=1	1	4360	10	4360	100	9.97775	73.8	3.8
Salmonella_3;size=1	1	4519	1	4507	99.7345	0.997345	44.8	23
Salmonella_5;size=1	1	4519	5	4519	100	4.9927	81.6	20.4
Salmonella_6;size=1	1	4360	6	4360	100	5.98922	82.7	7.5
Salmonella_7;size=1	1	4619	2	4619	100	2	92.8	60
Staphylococcus_1;size=1	1	4466	31	4466	100	30.9534	78.5	50.6
Staphylococcus_2;size=1	1	4512	43	4512	100	42.8978	74.4	58.6
Staphylococcus_3;size=1	1	4516	27	4516	100	26.9415	77	59
Staphylococcus_4;size=1	1	4391	39	4391	100	38.9228	76.5	38.7
Staphylococcus_5;size=1	1	4424	35	4424	100	34.8926	69.3	51.6
Staphylococcus_6;size=1	1	4483	29	4483	100	28.923	73.4	60
