rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Salmonella_5;size=5	1	1363	1	1363	100	1	89.4	60
Enterococcus_4;size=4	1	1381	3	1381	100	2.99421	71.5	60
Staphylococcus_4;size=4	1	1372	14	1372	100	13.9636	69.4	36.6
Bacillus_4_5;size=3	1	1370	3	1370	100	2.99927	91.8	14.3
Bacillus_7;size=2	1	1370	4	1370	100	4	91.9	14
Escherichia_5;size=2	1	1363	3	1363	100	2.9956	73.4	19
Listeria_2_5;size=2	1	1370	5	1370	100	4.99708	71	16.2
Listeria_6;size=2	1	1370	1	1369	99.927	0.99927	75.7	17
Bacillus_1;size=1	1	1370	2	1370	100	1.99197	43.8	18.5
Bacillus_8;size=1	1	1370	1	1368	99.854	0.99854	88	30
Escherichia_1;size=1	1	1363	1	1360	99.7799	0.997799	40.3	60
Escherichia_2;size=1	1	1363	3	1363	100	2.99046	74.2	20
Lactobacillus_1;size=1	1	1406	1	1405	99.9289	0.999289	92.9	54
Pseudomonas_1_2_3_4;size=1	1	1357	3	1357	100	2.99189	59.6	60
Salmonella_7;size=1	1	1363	1	1363	100	1	92.9	60
Staphylococcus_2;size=1	1	1372	2	1372	100	2	80.6	48
Staphylococcus_3;size=1	1	1372	2	1372	100	1.99927	92.8	40.5
Bacillus_3;size=1	1	1370	0	0	0	0	0	0
Bacillus_9;size=1	1	1370	0	0	0	0	0	0
Escherichia_4;size=1	1	1363	0	0	0	0	0	0
Escherichia_6;size=1	1	1363	0	0	0	0	0	0
Escherichia_7;size=1	1	1363	0	0	0	0	0	0
Lactobacillus_2;size=1	1	1396	0	0	0	0	0	0
Lactobacillus_3;size=1	1	1396	0	0	0	0	0	0
Lactobacillus_4;size=1	1	1396	0	0	0	0	0	0
Lactobacillus_5;size=1	1	1396	0	0	0	0	0	0
Listeria_1;size=1	1	1370	0	0	0	0	0	0
