rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Salmonella_5;size=5	1	1363	2	1363	100	1.98019	38.7	60
Enterococcus_4;size=4	1	1381	9	1381	100	8.96452	39.8	59.7
Staphylococcus_4;size=4	1	1372	8	1372	100	7.97668	39.6	25.6
Bacillus_4_5;size=3	1	1370	3	1370	100	2.99927	38.9	9.67
Bacillus_7;size=2	1	1370	3	1370	100	3	40	13
Escherichia_5;size=2	1	1363	1	1363	100	1	39.9	23
Listeria_2_5;size=2	1	1370	3	1370	100	3	40	16.7
Listeria_6;size=2	1	1370	7	1370	100	6.98467	39.5	13.6
Bacillus_1;size=1	1	1370	2	1370	100	1.99051	39.9	9
Bacillus_3;size=1	1	1370	1	1370	100	1	39.9	16
Bacillus_8;size=1	1	1370	3	1370	100	2.99416	39.9	0
Escherichia_4;size=1	1	1363	1	1363	100	1	40	60
Escherichia_6;size=1	1	1363	2	1363	100	1.99707	37.6	60
Escherichia_7;size=1	1	1363	2	1363	100	1.99853	38.5	30
Lactobacillus_1;size=1	1	1406	2	1406	100	1.99004	39.9	23
Lactobacillus_2;size=1	1	1396	1	1395	99.9284	0.999284	40	32
Lactobacillus_3;size=1	1	1396	1	1391	99.6418	0.996418	39.9	36
Lactobacillus_4;size=1	1	1396	6	1396	100	5.92837	39.8	30.7
Lactobacillus_5;size=1	1	1396	3	1396	100	2.99284	39.9	42
Listeria_1;size=1	1	1370	4	1370	100	4	40	18.8
Salmonella_7;size=1	1	1363	1	1334	97.8723	0.978723	39.6	60
Staphylococcus_2;size=1	1	1372	4	1372	100	3.99927	39.5	32.2
Bacillus_9;size=1	1	1370	0	0	0	0	0	0
Escherichia_1;size=1	1	1363	0	0	0	0	0	0
Escherichia_2;size=1	1	1363	0	0	0	0	0	0
Pseudomonas_1_2_3_4;size=1	1	1357	0	0	0	0	0	0
Staphylococcus_3;size=1	1	1372	0	0	0	0	0	0
