rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Bacillus_10;size=1	1	4210	5146	4210	100	5091.43	42.9	5.03
Bacillus_1;size=1	1	4210	7616	4210	100	7544.2	42.9	3.13
Bacillus_2;size=1	1	4387	5864	4387	100	5779.68	43	9.58
Bacillus_3;size=1	1	4387	3336	4387	100	3284.57	42.7	7.81
Bacillus_4_5;size=1	1	4210	11281	4210	100	11180.7	43	2.96
Bacillus_6;size=1	1	4210	5705	4210	100	5634.81	43	4.91
Bacillus_7;size=1	1	4210	4976	4210	100	4913.55	42.5	3.29
Bacillus_8;size=1	1	4210	7428	4210	100	7353.46	42.8	14.6
Bacillus_9;size=1	1	4210	6011	4210	100	5933.75	42.8	11
Enterococcus_1;size=1	1	4364	3863	4364	100	3793.35	43.8	29.8
Enterococcus_2;size=1	1	4364	5922	4364	100	5815.01	43.6	28.2
Enterococcus_3;size=1	1	4262	8045	4262	100	7933.08	43.5	4.97
Enterococcus_4;size=1	1	4262	7395	4262	100	7291.99	43.7	5.11
Escherichia_1;size=1	1	4451	3886	4451	100	3824.14	43.6	42.4
Escherichia_2;size=1	1	4358	4188	4358	100	4127.84	43.6	5.1
Escherichia_3;size=1	1	4358	4951	4358	100	4882.37	43.5	5.23
Escherichia_4;size=1	1	4452	3752	4452	100	3689.08	43.5	38.6
Escherichia_5;size=1	1	4358	5789	4358	100	5719.23	43.6	5.01
Escherichia_6;size=1	1	4441	4093	4441	100	4024.56	43.5	47.4
Escherichia_7;size=1	1	4435	3764	4435	100	3699.17	43.4	56
Lactobacillus_1;size=1	1	4268	10025	4268	100	9819.54	42.8	34.2
Lactobacillus_2;size=1	1	4453	8785	4453	100	8562.1	42.8	41.9
Lactobacillus_3;size=1	1	4258	13138	4258	100	12874.1	42.8	33.1
Lactobacillus_4;size=1	1	4258	9870	4258	100	9649.43	42.8	33.2
Lactobacillus_5;size=1	1	4453	7557	4453	100	7380.45	42.7	42.2
Listeria_1;size=1	1	4291	12910	4291	100	12745	42.8	3.27
Listeria_2_5;size=1	1	4291	13460	4291	100	13311.1	42.9	4.85
Listeria_3;size=1	1	4542	7523	4542	100	7334.87	43	4.76
Listeria_4;size=1	1	4542	7010	4542	100	6826.23	42.9	3.81
Listeria_6;size=1	1	4291	12349	4291	100	12207.4	43.1	3.76
Pseudomonas_1_2_3_4;size=1	1	4456	5718	4456	100	5575.01	43.4	59.8
Salmonella_1;size=1	1	4360	10199	4360	100	10087.3	43.3	4.39
Salmonella_2_4;size=1	1	4360	8227	4360	100	8139.92	43.4	4.92
Salmonella_3;size=1	1	4519	4802	4519	100	4720.53	43.5	14
Salmonella_5;size=1	1	4519	4155	4519	100	4072.87	43.3	13.7
Salmonella_6;size=1	1	4360	3977	4360	100	3923.56	43.2	5.91
Salmonella_7;size=1	1	4619	3167	4619	100	3086.77	43.4	53.8
Staphylococcus_1;size=1	1	4466	8234	4466	100	8048.18	43.6	36.7
Staphylococcus_2;size=1	1	4512	6908	4512	100	6795.3	43.8	43.3
Staphylococcus_3;size=1	1	4516	7909	4516	100	7761.76	43.7	54
Staphylococcus_4;size=1	1	4391	6579	4391	100	6483.11	43.8	31.2
Staphylococcus_5;size=1	1	4424	8309	4424	100	8181.47	43.7	43.9
Staphylococcus_6;size=1	1	4483	6792	4483	100	6677.3	43.7	54.1
