rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Salmonella_5;size=5	1	1363	47	1363	100	46.4894	44.5	59.9
Enterococcus_4;size=4	1	1381	96	1381	100	95.6481	43.8	59.8
Staphylococcus_4;size=4	1	1372	117	1372	100	116.565	43.7	31.9
Bacillus_4_5;size=3	1	1370	43	1370	100	42.7759	43.4	12.2
Bacillus_7;size=2	1	1370	19	1370	100	18.9482	43.1	10.4
Escherichia_5;size=2	1	1363	13	1363	100	12.9098	41	18.5
Listeria_2_5;size=2	1	1370	64	1370	100	63.7942	43.1	15.1
Listeria_6;size=2	1	1370	50	1370	100	49.8153	42.9	16.7
Bacillus_1;size=1	1	1370	19	1370	100	18.8934	41	10.3
Bacillus_3;size=1	1	1370	16	1370	100	15.9518	43	13.9
Bacillus_8;size=1	1	1370	32	1370	100	30.4058	41.6	19.4
Bacillus_9;size=1	1	1370	19	1370	100	18.9314	43.2	12.4
Escherichia_1;size=1	1	1363	11	1363	100	10.7924	42.6	51.1
Escherichia_2;size=1	1	1363	6	1363	100	5.97139	43.2	13.7
Escherichia_4;size=1	1	1363	4	1363	100	3.99853	44.8	60
Escherichia_6;size=1	1	1363	6	1363	100	5.95965	41.8	57.5
Escherichia_7;size=1	1	1363	7	1363	100	6.95231	43.6	42
Lactobacillus_1;size=1	1	1406	16	1406	100	15.8627	41.4	30.9
Lactobacillus_2;size=1	1	1396	18	1396	100	17.8195	42.1	17.1
Lactobacillus_3;size=1	1	1396	45	1396	100	44.664	41.4	20.2
Lactobacillus_4;size=1	1	1396	30	1396	100	29.8438	42.2	34.3
Lactobacillus_5;size=1	1	1396	25	1396	100	24.8001	42.3	35.6
Listeria_1;size=1	1	1370	22	1370	100	21.8854	42.8	14.3
Pseudomonas_1_2_3_4;size=1	1	1357	14	1357	100	13.5667	44.6	60
Salmonella_7;size=1	1	1363	12	1363	100	11.8261	44.8	54.5
Staphylococcus_2;size=1	1	1372	31	1372	100	30.9322	44.5	43.7
Staphylococcus_3;size=1	1	1372	24	1372	100	23.2558	41.5	25.6
