rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Salmonella_5;size=5	1	1363	3829	1363	100	3823.58	39.6	57.6
Enterococcus_4;size=4	1	1381	6533	1381	100	6521.48	39.6	59.3
Staphylococcus_4;size=4	1	1372	9246	1372	100	9230.52	39.6	32.7
Bacillus_4_5;size=3	1	1370	3230	1370	100	3224.22	39.6	10.8
Bacillus_7;size=2	1	1370	1728	1370	100	1725.6	39.6	11.4
Escherichia_5;size=2	1	1363	1191	1363	100	1189.75	39.6	17.8
Listeria_2_5;size=2	1	1370	5101	1370	100	5095.91	39.6	15.7
Listeria_6;size=2	1	1370	3238	1370	100	3233.49	39.6	15.3
Bacillus_1;size=1	1	1370	1141	1370	100	1139.23	39.6	10.4
Bacillus_3;size=1	1	1370	964	1370	100	962.77	39.6	13.9
Bacillus_8;size=1	1	1370	1864	1370	100	1861.57	39.6	21.5
Bacillus_9;size=1	1	1370	1764	1370	100	1760.39	39.7	10.2
Escherichia_1;size=1	1	1363	652	1363	100	650.043	39.5	47.3
Escherichia_2;size=1	1	1363	576	1363	100	575.401	39.5	15.9
Escherichia_4;size=1	1	1363	559	1363	100	558.313	39.7	46.7
Escherichia_6;size=1	1	1363	593	1363	100	591.922	39.6	51.4
Escherichia_7;size=1	1	1363	663	1363	100	661.136	39.6	46.7
Lactobacillus_1;size=1	1	1406	1520	1406	100	1512.62	39.6	39
Lactobacillus_2;size=1	1	1396	1499	1396	100	1494.68	39.6	23.3
Lactobacillus_3;size=1	1	1396	2750	1396	100	2744.58	39.6	20.3
Lactobacillus_4;size=1	1	1396	2290	1396	100	2282.39	39.6	31.2
Lactobacillus_5;size=1	1	1396	2149	1396	100	2144.31	39.6	36.8
Listeria_1;size=1	1	1370	2015	1370	100	2008.75	39.6	15.6
Pseudomonas_1_2_3_4;size=1	1	1357	831	1357	100	829.358	39.7	59.7
Salmonella_7;size=1	1	1363	706	1363	100	704.425	39.6	51.2
Staphylococcus_2;size=1	1	1372	2241	1372	100	2237.73	39.6	37.8
Staphylococcus_3;size=1	1	1372	2113	1372	100	2109.29	39.6	27.6
