rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Salmonella_5;size=5	1	1363	223	1363	100	222.787	39.6	57.7
Enterococcus_4;size=4	1	1381	373	1381	100	372.403	39.6	59.6
Staphylococcus_4;size=4	1	1372	517	1372	100	516.034	39.6	32.4
Bacillus_4_5;size=3	1	1370	197	1370	100	196.718	39.7	11
Bacillus_7;size=2	1	1370	105	1370	100	104.915	39.6	10.7
Escherichia_5;size=2	1	1363	90	1363	100	89.9142	39.6	16.9
Listeria_2_5;size=2	1	1370	311	1370	100	310.748	39.6	15.7
Listeria_6;size=2	1	1370	183	1370	100	182.754	39.6	15.1
Bacillus_1;size=1	1	1370	69	1370	100	68.9022	39.6	11
Bacillus_3;size=1	1	1370	55	1370	100	54.9482	39.8	12.9
Bacillus_8;size=1	1	1370	102	1370	100	101.863	39.6	22.4
Bacillus_9;size=1	1	1370	105	1370	100	104.799	39.7	9.52
Escherichia_1;size=1	1	1363	29	1363	100	28.9589	39.6	47.3
Escherichia_2;size=1	1	1363	47	1363	100	46.9618	39.7	16
Escherichia_4;size=1	1	1363	23	1363	100	22.9707	39.3	48.3
Escherichia_6;size=1	1	1363	39	1363	100	38.9567	39.6	49.6
Escherichia_7;size=1	1	1363	25	1363	100	24.9758	39.6	45.2
Lactobacillus_1;size=1	1	1406	96	1406	100	95.6771	39.7	39.5
Lactobacillus_2;size=1	1	1396	87	1396	100	86.8381	39.4	25
Lactobacillus_3;size=1	1	1396	139	1396	100	138.599	39.6	21
Lactobacillus_4;size=1	1	1396	144	1396	100	143.272	39.6	30.1
Lactobacillus_5;size=1	1	1396	108	1396	100	107.776	39.7	36
Listeria_1;size=1	1	1370	123	1370	100	122.786	39.8	16.3
Pseudomonas_1_2_3_4;size=1	1	1357	56	1357	100	55.8924	39.6	60
Salmonella_7;size=1	1	1363	45	1363	100	44.9428	39.6	56.8
Staphylococcus_2;size=1	1	1372	123	1372	100	122.784	39.7	37.3
Staphylococcus_3;size=1	1	1372	122	1372	100	121.795	39.7	28.1
