rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Bacillus_10;size=1	1	4210	1	4210	100	1	93	5
Bacillus_2;size=1	1	4387	1	4384	99.9316	0.999316	78.9	13
Bacillus_3;size=1	1	4387	1	4350	99.1566	0.991566	33.1	16
Bacillus_4_5;size=1	1	4210	3	4210	100	2.99691	73.7	5
Bacillus_6;size=1	1	4210	2	4210	100	1.99976	90.9	7
Bacillus_8;size=1	1	4210	1	4210	100	1	93	21
Bacillus_9;size=1	1	4210	3	4210	100	2.99097	67	21
Enterococcus_2;size=1	1	4364	2	4364	100	1.9984	76.3	31.5
Enterococcus_4;size=1	1	4262	1	4234	99.343	0.99343	50.4	7
Escherichia_1;size=1	1	4451	4	4451	100	3.9991	92.6	60
Escherichia_3;size=1	1	4358	1	4358	100	1	93	6
Escherichia_4;size=1	1	4452	3	4452	100	2.99034	59	60
Escherichia_5;size=1	1	4358	2	4358	100	1.99151	61.8	7
Escherichia_6;size=1	1	4441	1	4426	99.6622	0.996622	40.5	60
Lactobacillus_1;size=1	1	4268	4	4268	100	3.98805	69	57
Lactobacillus_2;size=1	1	4453	1	4453	100	1	88.5	60
Lactobacillus_3;size=1	1	4258	3	4258	100	2.99836	79.8	53.7
Lactobacillus_4;size=1	1	4258	2	4258	100	1.99906	74.3	57.5
Lactobacillus_5;size=1	1	4453	2	4453	100	1.96429	24.5	53.5
Listeria_1;size=1	1	4291	3	4291	100	2.99534	76.7	6.67
Listeria_2_5;size=1	1	4291	6	4291	100	5.98555	75.9	5.33
Listeria_3;size=1	1	4542	1	4534	99.8239	0.998239	78.2	6
Pseudomonas_1_2_3_4;size=1	1	4456	5	4456	100	4.99843	85.3	60
Salmonella_2_4;size=1	1	4360	3	4360	100	2.99037	60.2	2
Salmonella_5;size=1	1	4519	1	4519	100	1	90.9	19
Salmonella_7;size=1	1	4619	1	4619	100	1	93	60
Staphylococcus_1;size=1	1	4466	3	4466	100	2.99664	82.2	50
Staphylococcus_2;size=1	1	4512	6	4512	100	5.97296	66.4	56.2
Staphylococcus_3;size=1	1	4516	3	4516	100	2.99978	92.6	60
Staphylococcus_4;size=1	1	4391	4	4391	100	3.99294	83.4	39
Staphylococcus_5;size=1	1	4424	3	4424	100	2.99503	74.8	49
Staphylococcus_6;size=1	1	4483	5	4483	100	4.98907	70.5	60
Bacillus_1;size=1	1	4210	0	0	0	0	0	0
Bacillus_7;size=1	1	4210	0	0	0	0	0	0
Enterococcus_1;size=1	1	4364	0	0	0	0	0	0
Enterococcus_3;size=1	1	4262	0	0	0	0	0	0
Escherichia_2;size=1	1	4358	0	0	0	0	0	0
Escherichia_7;size=1	1	4435	0	0	0	0	0	0
Listeria_4;size=1	1	4542	0	0	0	0	0	0
Listeria_6;size=1	1	4291	0	0	0	0	0	0
Salmonella_1;size=1	1	4360	0	0	0	0	0	0
Salmonella_3;size=1	1	4519	0	0	0	0	0	0
Salmonella_6;size=1	1	4360	0	0	0	0	0	0
