rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Bacillus_10;size=1	1	4210	33	4210	100	32.8629	43.4	4.79
Bacillus_1;size=1	1	4210	55	4210	100	54.6394	41.7	2.76
Bacillus_2;size=1	1	4387	47	4387	100	46.6077	41.4	10.8
Bacillus_3;size=1	1	4387	29	4387	100	27.726	40.7	7.03
Bacillus_4_5;size=1	1	4210	70	4210	100	69.4748	42	2.79
Bacillus_6;size=1	1	4210	27	4210	100	26.2587	43.1	5.04
Bacillus_7;size=1	1	4210	38	4210	100	37.6482	41.8	3.03
Bacillus_8;size=1	1	4210	51	4210	100	50.7078	42.4	13.8
Bacillus_9;size=1	1	4210	46	4210	100	44.9233	43.2	11.8
Enterococcus_1;size=1	1	4364	20	4364	100	19.1476	43.5	28.9
Enterococcus_2;size=1	1	4364	51	4364	100	50.4597	42.9	28
Enterococcus_3;size=1	1	4262	56	4262	100	55.5469	44.3	5.25
Enterococcus_4;size=1	1	4262	49	4262	100	48.6152	43.9	4.92
Escherichia_1;size=1	1	4451	27	4451	100	26.8088	44.7	50.7
Escherichia_2;size=1	1	4358	38	4358	100	36.6175	42.4	4.5
Escherichia_3;size=1	1	4358	32	4358	100	31.891	44.1	5.78
Escherichia_4;size=1	1	4452	21	4452	100	20.9122	44.6	40.7
Escherichia_5;size=1	1	4358	36	4358	100	35.6368	42.5	4.92
Escherichia_6;size=1	1	4441	28	4441	100	27.8489	44.2	49.6
Escherichia_7;size=1	1	4435	31	4435	100	29.9166	42.8	54.9
Lactobacillus_1;size=1	1	4268	75	4268	100	73.3524	42.6	31
Lactobacillus_2;size=1	1	4453	66	4453	100	64.1803	43.3	41.4
Lactobacillus_3;size=1	1	4258	108	4258	100	105.988	42.5	32.7
Lactobacillus_4;size=1	1	4258	67	4258	100	65.1794	43.5	27.7
Lactobacillus_5;size=1	1	4453	56	4453	100	54.6975	42.4	43.7
Listeria_1;size=1	1	4291	85	4291	100	84.2771	43	3.35
Listeria_2_5;size=1	1	4291	78	4291	100	77.6362	43.5	5.23
Listeria_3;size=1	1	4542	46	4542	100	43.4586	42.3	4.33
Listeria_4;size=1	1	4542	53	4542	100	51.1339	42.7	3.43
Listeria_6;size=1	1	4291	79	4291	100	78.2631	42.9	3.52
Pseudomonas_1_2_3_4;size=1	1	4456	26	4456	100	25.7527	43	60
Salmonella_1;size=1	1	4360	69	4360	100	68.5005	44.2	3.84
Salmonella_2_4;size=1	1	4360	55	4360	100	54.7911	42.4	4.89
Salmonella_3;size=1	1	4519	34	4519	100	33.6944	43.5	14
Salmonella_5;size=1	1	4519	26	4519	100	25.6687	42.8	11.4
Salmonella_6;size=1	1	4360	29	4360	100	28.8784	42.3	6
Salmonella_7;size=1	1	4619	27	4619	100	26.0297	43.7	55.8
Staphylococcus_1;size=1	1	4466	56	4466	100	55.3867	44.4	38.2
Staphylococcus_2;size=1	1	4512	56	4512	100	54.3001	43.4	41.9
Staphylococcus_3;size=1	1	4516	49	4516	100	47.6213	44	55.5
Staphylococcus_4;size=1	1	4391	59	4391	100	57.1316	43	30.7
Staphylococcus_5;size=1	1	4424	53	4424	100	52.4288	44.4	39.1
Staphylococcus_6;size=1	1	4483	48	4483	100	47.7051	44.3	53.9
