rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Salmonella_5;size=5	1	1363	17662	1363	100	17556.1	43.7	58.4
Enterococcus_4;size=4	1	1381	38347	1381	100	38149.6	43.9	59.1
Staphylococcus_4;size=4	1	1372	46834	1372	100	46612.5	44.1	33.1
Bacillus_4_5;size=3	1	1370	17000	1370	100	16919.5	43	11.7
Bacillus_7;size=2	1	1370	10604	1370	100	10553.8	42.9	12.2
Escherichia_5;size=2	1	1363	5095	1363	100	5072.47	43.9	18.1
Listeria_2_5;size=2	1	1370	27036	1370	100	26921.3	43.4	14.5
Listeria_6;size=2	1	1370	18945	1370	100	18851	43.4	15.9
Bacillus_1;size=1	1	1370	5732	1370	100	5698.01	42.9	11.7
Bacillus_3;size=1	1	1370	5704	1370	100	5669.28	42.8	13.6
Bacillus_8;size=1	1	1370	11127	1370	100	11070.6	42.9	23.2
Bacillus_9;size=1	1	1370	9825	1370	100	9775.31	43	9.46
Escherichia_1;size=1	1	1363	3481	1363	100	3458.17	43.9	47.3
Escherichia_2;size=1	1	1363	2565	1363	100	2551.62	43.7	17.4
Escherichia_4;size=1	1	1363	2785	1363	100	2763.41	43.9	50.3
Escherichia_6;size=1	1	1363	2752	1363	100	2719.65	43.7	54.7
Escherichia_7;size=1	1	1363	3437	1363	100	3401.71	43.8	47.9
Lactobacillus_1;size=1	1	1406	8230	1406	100	8147.94	42.1	40.1
Lactobacillus_2;size=1	1	1396	8400	1396	100	8335.76	42.1	23.8
Lactobacillus_3;size=1	1	1396	13324	1396	100	13219.8	42.1	22
Lactobacillus_4;size=1	1	1396	11881	1396	100	11775.4	42.2	32.7
Lactobacillus_5;size=1	1	1396	11498	1396	100	11417.9	42.1	39.5
Listeria_1;size=1	1	1370	11282	1370	100	11197.8	43.3	15.2
Pseudomonas_1_2_3_4;size=1	1	1357	4642	1357	100	4609.18	43.6	59.8
Salmonella_7;size=1	1	1363	3500	1363	100	3475.67	43.6	54.4
Staphylococcus_2;size=1	1	1372	11190	1372	100	11141.1	44.1	41.7
Staphylococcus_3;size=1	1	1372	11039	1372	100	10970.3	44.1	29.2
