rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Bacillus_2;size=1	1	4387	1	4384	99.9316	0.999316	78.9	13
Bacillus_3;size=1	1	4387	1	4350	99.1566	0.991566	33.1	16
Bacillus_4_5;size=1	1	4210	3	4210	100	2.99691	73.7	5
Bacillus_8;size=1	1	4210	1	4210	100	1	93	21
Bacillus_9;size=1	1	4210	1	4204	99.8575	0.998575	69.3	18
Escherichia_1;size=1	1	4451	3	4451	100	2.99978	92.8	60
Escherichia_3;size=1	1	4358	1	4358	100	1	93	6
Escherichia_4;size=1	1	4452	3	4452	100	2.99034	59	60
Escherichia_5;size=1	1	4358	1	4321	99.151	0.99151	30.4	8
Escherichia_6;size=1	1	4441	1	4426	99.6622	0.996622	40.5	60
Lactobacillus_1;size=1	1	4268	3	4268	100	2.99859	80.8	56
Lactobacillus_2;size=1	1	4453	1	4453	100	1	88.5	60
Lactobacillus_3;size=1	1	4258	1	4251	99.8356	0.998356	54	55
Listeria_1;size=1	1	4291	2	4291	100	1.99534	70.9	7
Listeria_2_5;size=1	1	4291	3	4291	100	2.98602	62.7	4.67
Listeria_3;size=1	1	4542	1	4534	99.8239	0.998239	78.2	6
Pseudomonas_1_2_3_4;size=1	1	4456	2	4456	100	1.99978	79.1	60
Salmonella_2_4;size=1	1	4360	1	4341	99.5642	0.995642	44.6	1
Salmonella_5;size=1	1	4519	1	4519	100	1	90.9	19
Salmonella_7;size=1	1	4619	1	4619	100	1	93	60
Staphylococcus_1;size=1	1	4466	3	4466	100	2.99664	82.2	50
Staphylococcus_2;size=1	1	4512	4	4512	100	3.98648	69.9	57.8
Staphylococcus_3;size=1	1	4516	1	4515	99.9779	0.999779	91.9	60
Staphylococcus_4;size=1	1	4391	3	4391	100	2.99476	83.3	39
Staphylococcus_5;size=1	1	4424	3	4424	100	2.99503	74.8	49
Staphylococcus_6;size=1	1	4483	4	4483	100	3.9913	73.4	60
Bacillus_10;size=1	1	4210	0	0	0	0	0	0
Bacillus_1;size=1	1	4210	0	0	0	0	0	0
Bacillus_6;size=1	1	4210	0	0	0	0	0	0
Bacillus_7;size=1	1	4210	0	0	0	0	0	0
Enterococcus_1;size=1	1	4364	0	0	0	0	0	0
Enterococcus_2;size=1	1	4364	0	0	0	0	0	0
Enterococcus_3;size=1	1	4262	0	0	0	0	0	0
Enterococcus_4;size=1	1	4262	0	0	0	0	0	0
Escherichia_2;size=1	1	4358	0	0	0	0	0	0
Escherichia_7;size=1	1	4435	0	0	0	0	0	0
Lactobacillus_4;size=1	1	4258	0	0	0	0	0	0
Lactobacillus_5;size=1	1	4453	0	0	0	0	0	0
Listeria_4;size=1	1	4542	0	0	0	0	0	0
Listeria_6;size=1	1	4291	0	0	0	0	0	0
Salmonella_1;size=1	1	4360	0	0	0	0	0	0
Salmonella_3;size=1	1	4519	0	0	0	0	0	0
Salmonella_6;size=1	1	4360	0	0	0	0	0	0
