rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Bacillus_10;size=1	1	4210	9	4210	100	8.95368	44.3	4.44
Bacillus_1;size=1	1	4210	14	4210	100	13.8993	42.6	3.07
Bacillus_2;size=1	1	4387	13	4387	100	12.814	37.9	10.2
Bacillus_3;size=1	1	4387	5	4387	100	4.86848	35.5	7
Bacillus_4_5;size=1	1	4210	14	4210	100	13.9071	42.3	2.79
Bacillus_6;size=1	1	4210	9	4210	100	8.31283	42.7	4.67
Bacillus_7;size=1	1	4210	11	4210	100	10.8686	41	3.18
Bacillus_8;size=1	1	4210	13	4210	100	12.9071	40.8	13.8
Bacillus_9;size=1	1	4210	9	4210	100	8.96342	44	17
Enterococcus_1;size=1	1	4364	8	4364	100	7.89895	43.5	28.6
Enterococcus_2;size=1	1	4364	14	4364	100	13.8886	42.7	28.4
Enterococcus_3;size=1	1	4262	10	4262	100	9.89137	44.8	4.8
Enterococcus_4;size=1	1	4262	9	4262	100	8.93665	44.1	5.33
Escherichia_1;size=1	1	4451	6	4451	100	5.93867	45	53.8
Escherichia_2;size=1	1	4358	6	4358	100	5.2196	43.2	6.17
Escherichia_3;size=1	1	4358	4	4358	100	3.99059	45.5	7
Escherichia_4;size=1	1	4452	2	4452	100	1.98742	45.9	44
Escherichia_5;size=1	1	4358	8	4358	100	7.93185	44.8	4.75
Escherichia_6;size=1	1	4441	6	4441	100	5.98717	45	43.7
Escherichia_7;size=1	1	4435	6	4435	100	5.8814	41.8	46.5
Lactobacillus_1;size=1	1	4268	20	4268	100	19.8526	44.3	30.1
Lactobacillus_2;size=1	1	4453	19	4453	100	18.1033	42.9	38.5
Lactobacillus_3;size=1	1	4258	20	4258	100	19.8525	43.9	38.3
Lactobacillus_4;size=1	1	4258	14	4258	100	13.8638	42.9	22
Lactobacillus_5;size=1	1	4453	8	4453	100	7.95194	43.2	36.2
Listeria_1;size=1	1	4291	22	4291	100	21.8164	43.6	3.64
Listeria_2_5;size=1	1	4291	26	4291	100	25.8655	43.6	4.96
Listeria_3;size=1	1	4542	10	4542	100	9.66491	40.8	4
Listeria_4;size=1	1	4542	14	4542	100	13.6594	43	3.71
Listeria_6;size=1	1	4291	17	4291	100	16.9014	42.8	4.06
Pseudomonas_1_2_3_4;size=1	1	4456	8	4456	100	7.89991	43.1	60
Salmonella_1;size=1	1	4360	21	4360	100	20.8867	45.1	3.67
Salmonella_2_4;size=1	1	4360	11	4360	100	10.9755	43.2	5.36
Salmonella_3;size=1	1	4519	4	4519	100	3.96039	41.2	18.2
Salmonella_5;size=1	1	4519	4	4519	100	3.99734	44.1	10.2
Salmonella_6;size=1	1	4360	7	4360	100	6.95482	39.9	5.14
Salmonella_7;size=1	1	4619	7	4619	100	6.24551	44.6	59.3
Staphylococcus_1;size=1	1	4466	12	4466	100	11.8569	44.5	39.7
Staphylococcus_2;size=1	1	4512	14	4512	100	13.8542	44.3	44.4
Staphylococcus_3;size=1	1	4516	15	4516	100	14.7394	44.9	53.3
Staphylococcus_4;size=1	1	4391	16	4391	100	14.8873	41.8	31.4
Staphylococcus_5;size=1	1	4424	13	4424	100	12.9071	44.8	47.2
Staphylococcus_6;size=1	1	4483	15	4483	100	14.8764	43.1	52.1
