rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Salmonella_5;size=5	1	1363	327	1363	100	325.489	75.6	59.8
Enterococcus_4;size=4	1	1381	246	1381	100	245.319	73.5	59.8
Staphylococcus_4;size=4	1	1372	1565	1372	100	1561.79	75.7	38.3
Bacillus_4_5;size=3	1	1370	364	1370	100	363.08	73.5	14.7
Bacillus_7;size=2	1	1370	194	1370	100	193.653	76.3	14.5
Escherichia_5;size=2	1	1363	240	1363	100	239.527	75.9	18.3
Listeria_2_5;size=2	1	1370	438	1370	100	437.004	75	16.4
Listeria_6;size=2	1	1370	235	1370	100	234.534	74.3	16.6
Bacillus_1;size=1	1	1370	78	1370	100	77.7292	71.8	13
Bacillus_3;size=1	1	1370	46	1370	100	45.919	76.7	15.4
Bacillus_8;size=1	1	1370	89	1370	100	88.8299	78.4	30.7
Bacillus_9;size=1	1	1370	100	1370	100	99.6496	73.6	19.4
Escherichia_1;size=1	1	1363	111	1363	100	110.727	77.5	59.5
Escherichia_2;size=1	1	1363	127	1363	100	126.726	77.9	17.7
Escherichia_4;size=1	1	1363	100	1363	100	99.8379	81.2	58.8
Escherichia_6;size=1	1	1363	77	1363	100	76.0602	73.1	58.9
Escherichia_7;size=1	1	1363	96	1363	100	95.8173	78.8	59.3
Lactobacillus_1;size=1	1	1406	224	1406	100	223.441	75.3	53.8
Lactobacillus_2;size=1	1	1396	175	1396	100	174.576	76.3	33.3
Lactobacillus_3;size=1	1	1396	256	1396	100	255.28	74.7	29
Lactobacillus_4;size=1	1	1396	255	1396	100	254.53	75.7	36.8
Lactobacillus_5;size=1	1	1396	175	1396	100	174.188	71.6	44.1
Listeria_1;size=1	1	1370	175	1370	100	174.618	73.9	18.4
Pseudomonas_1_2_3_4;size=1	1	1357	538	1357	100	536.824	76.1	60
Salmonella_7;size=1	1	1363	43	1363	100	42.9391	76.9	59.6
Staphylococcus_2;size=1	1	1372	377	1372	100	376.198	75.2	49.1
Staphylococcus_3;size=1	1	1372	296	1372	100	295.447	77.2	40.6
