rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Bacillus_10;size=1	1	4210	30	4210	100	29.8855	69.3	5.73
Bacillus_1;size=1	1	4210	34	4210	100	33.901	72.9	5.41
Bacillus_2;size=1	1	4387	25	4387	100	24.9492	78.1	13
Bacillus_3;size=1	1	4387	19	4387	100	18.9524	70	13.4
Bacillus_4_5;size=1	1	4210	74	4210	100	73.8266	73.8	5.47
Bacillus_6;size=1	1	4210	23	4210	100	22.9485	75.4	7.35
Bacillus_7;size=1	1	4210	35	4210	100	34.909	71.1	4.83
Bacillus_8;size=1	1	4210	31	4210	100	30.9133	69.8	22.5
Bacillus_9;size=1	1	4210	39	4210	100	38.8703	64.7	20.2
Enterococcus_1;size=1	1	4364	9	4364	100	8.97617	71.8	34.2
Enterococcus_2;size=1	1	4364	20	4364	100	19.9615	75.3	33
Enterococcus_3;size=1	1	4262	34	4262	100	33.8787	69.1	5.26
Enterococcus_4;size=1	1	4262	33	4262	100	32.6687	70.7	5.91
Escherichia_1;size=1	1	4451	44	4451	100	43.847	79.6	59.8
Escherichia_2;size=1	1	4358	56	4358	100	55.8844	76.2	6.18
Escherichia_3;size=1	1	4358	37	4358	100	36.8963	74.6	6.16
Escherichia_4;size=1	1	4452	39	4452	100	38.9207	74.6	59
Escherichia_5;size=1	1	4358	49	4358	100	48.877	73.6	5.8
Escherichia_6;size=1	1	4441	32	4441	100	31.9637	80.2	60
Escherichia_7;size=1	1	4435	37	4435	100	36.883	68.3	60
Lactobacillus_1;size=1	1	4268	79	4268	100	78.6164	70.8	56.3
Lactobacillus_2;size=1	1	4453	56	4453	100	55.8547	73.6	59.6
Lactobacillus_3;size=1	1	4258	86	4258	100	85.5221	77	53.4
Lactobacillus_4;size=1	1	4258	91	4258	100	90.7722	75.2	56.2
Lactobacillus_5;size=1	1	4453	59	4453	100	56.1936	67.6	56.7
Listeria_1;size=1	1	4291	63	4291	100	62.8021	67.9	6.49
Listeria_2_5;size=1	1	4291	131	4291	100	130.703	76.2	5.66
Listeria_3;size=1	1	4542	42	4542	100	41.7895	70	5.4
Listeria_4;size=1	1	4542	33	4542	100	32.941	78.7	5
Listeria_6;size=1	1	4291	46	4291	100	45.8709	73.5	5.15
Pseudomonas_1_2_3_4;size=1	1	4456	206	4456	100	205.242	76.7	60
Salmonella_1;size=1	1	4360	24	4360	100	23.9589	80.6	4.92
Salmonella_2_4;size=1	1	4360	49	4360	100	48.9053	74.7	4.27
Salmonella_3;size=1	1	4519	8	4519	100	7.98871	74.8	18.5
Salmonella_5;size=1	1	4519	16	4519	100	15.9511	74.9	19.6
Salmonella_6;size=1	1	4360	28	4360	100	27.925	76.4	7.07
Salmonella_7;size=1	1	4619	16	4619	100	15.9829	83.4	60
Staphylococcus_1;size=1	1	4466	140	4466	100	139.737	77.4	50.4
Staphylococcus_2;size=1	1	4512	155	4512	100	154.627	74.4	58.8
Staphylococcus_3;size=1	1	4516	123	4516	100	122.727	76.6	59.5
Staphylococcus_4;size=1	1	4391	150	4391	100	149.733	76.6	39.2
Staphylococcus_5;size=1	1	4424	162	4424	100	161.565	72.5	51.8
Staphylococcus_6;size=1	1	4483	129	4483	100	128.71	74.5	60
