rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Salmonella_5;size=5	1	1363	73	1363	100	72.2238	44.2	57.2
Enterococcus_4;size=4	1	1381	159	1381	100	158.497	44.1	58.7
Staphylococcus_4;size=4	1	1372	196	1372	100	195.235	43.9	32.7
Bacillus_4_5;size=3	1	1370	63	1370	100	62.7299	43.6	13
Bacillus_7;size=2	1	1370	35	1370	100	34.7321	43.5	9.83
Escherichia_5;size=2	1	1363	27	1363	100	26.8944	43.1	18
Listeria_2_5;size=2	1	1370	111	1370	100	110.521	43.1	14.3
Listeria_6;size=2	1	1370	79	1370	100	78.7168	43.1	15.8
Bacillus_1;size=1	1	1370	25	1370	100	24.8723	41.4	11.3
Bacillus_3;size=1	1	1370	24	1370	100	23.9365	43.4	14.5
Bacillus_8;size=1	1	1370	52	1370	100	50.3672	42.7	21.9
Bacillus_9;size=1	1	1370	34	1370	100	33.873	42.8	10.7
Escherichia_1;size=1	1	1363	14	1363	100	13.7894	43.3	53
Escherichia_2;size=1	1	1363	7	1363	100	6.96919	43.5	14.3
Escherichia_4;size=1	1	1363	9	1363	100	8.97799	42	60
Escherichia_6;size=1	1	1363	13	1363	100	12.9222	42.4	55.8
Escherichia_7;size=1	1	1363	14	1363	100	13.9413	44.2	49.4
Lactobacillus_1;size=1	1	1406	35	1406	100	34.7048	41.6	35.4
Lactobacillus_2;size=1	1	1396	32	1396	100	31.7808	42.1	18.7
Lactobacillus_3;size=1	1	1396	58	1396	100	57.6239	41.6	19.7
Lactobacillus_4;size=1	1	1396	43	1396	100	42.745	42.1	34.1
Lactobacillus_5;size=1	1	1396	45	1396	100	44.6368	41.9	38.7
Listeria_1;size=1	1	1370	49	1370	100	48.7803	43.4	16.2
Pseudomonas_1_2_3_4;size=1	1	1357	19	1357	100	18.5623	44.5	60
Salmonella_7;size=1	1	1363	15	1363	100	14.763	44.9	51.6
Staphylococcus_2;size=1	1	1372	46	1372	100	45.9133	44.2	42.1
Staphylococcus_3;size=1	1	1372	42	1372	100	41.2099	43.1	29.2
