rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Salmonella_5;size=5	1	1363	18	1363	100	17.9809	39.5	57.3
Enterococcus_4;size=4	1	1381	31	1381	100	30.9464	39.8	60
Staphylococcus_4;size=4	1	1372	39	1372	100	38.9315	39.6	30.2
Bacillus_4_5;size=3	1	1370	18	1370	100	17.9701	39.5	10.7
Bacillus_7;size=2	1	1370	8	1370	100	7.99781	39.9	8
Escherichia_5;size=2	1	1363	9	1363	100	8.99633	39.7	19.4
Listeria_2_5;size=2	1	1370	21	1370	100	20.9912	39.7	16.3
Listeria_6;size=2	1	1370	16	1370	100	15.9752	39.2	13.9
Bacillus_1;size=1	1	1370	7	1370	100	6.97737	39.8	10.3
Bacillus_3;size=1	1	1370	7	1370	100	6.99927	39.8	13.9
Bacillus_8;size=1	1	1370	9	1370	100	8.98321	39.8	17.9
Bacillus_9;size=1	1	1370	5	1370	100	4.99343	40	11
Escherichia_1;size=1	1	1363	1	1362	99.9266	0.999266	40	60
Escherichia_2;size=1	1	1363	4	1363	100	3.99853	39.8	15.2
Escherichia_4;size=1	1	1363	3	1363	100	3	39.8	56.3
Escherichia_6;size=1	1	1363	2	1363	100	2	40	30
Escherichia_7;size=1	1	1363	3	1363	100	2.99853	38.9	30.3
Lactobacillus_1;size=1	1	1406	6	1406	100	5.9744	40	33.5
Lactobacillus_2;size=1	1	1396	6	1396	100	5.99642	39.8	15.7
Lactobacillus_3;size=1	1	1396	13	1396	100	12.9893	39.7	19.5
Lactobacillus_4;size=1	1	1396	14	1396	100	13.7822	39.3	26.1
Lactobacillus_5;size=1	1	1396	19	1396	100	18.9033	39.7	34.9
Listeria_1;size=1	1	1370	10	1370	100	9.98467	39.9	16.1
Pseudomonas_1_2_3_4;size=1	1	1357	5	1357	100	4.986	39.8	60
Salmonella_7;size=1	1	1363	7	1363	100	6.97139	39	51.6
Staphylococcus_2;size=1	1	1372	10	1372	100	9.99271	39.2	45.6
Staphylococcus_3;size=1	1	1372	9	1372	100	8.99636	40	30.2
