rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Bacillus_10;size=1	1	4210	4	4210	100	3.97815	44.3	4.75
Bacillus_1;size=1	1	4210	9	4210	100	8.95321	42.3	2.56
Bacillus_2;size=1	1	4387	6	4387	100	5.93162	38.5	7.5
Bacillus_3;size=1	1	4387	3	4387	100	2.87805	28.9	11.7
Bacillus_4_5;size=1	1	4210	8	4210	100	7.96128	43.1	4
Bacillus_6;size=1	1	4210	5	4210	100	4.98219	43.9	5
Bacillus_7;size=1	1	4210	8	4210	100	7.89145	41.1	3.12
Bacillus_8;size=1	1	4210	7	4210	100	6.91805	39.5	12.3
Bacillus_9;size=1	1	4210	4	4210	100	3.98741	44.4	15.5
Enterococcus_1;size=1	1	4364	4	4364	100	3.92324	41.9	23.5
Enterococcus_2;size=1	1	4364	7	4364	100	6.92117	41.5	22.3
Enterococcus_3;size=1	1	4262	9	4262	100	8.94815	44.6	4.56
Enterococcus_4;size=1	1	4262	6	4262	100	5.94697	43.9	5.33
Escherichia_1;size=1	1	4451	4	4451	100	3.94001	44.9	50.8
Escherichia_2;size=1	1	4358	5	4358	100	4.22028	42.5	6
Escherichia_3;size=1	1	4358	2	4358	100	1.99839	44.9	7.5
Escherichia_4;size=1	1	4452	2	4452	100	1.98742	45.9	44
Escherichia_5;size=1	1	4358	8	4358	100	7.93185	44.8	4.75
Escherichia_6;size=1	1	4441	4	4441	100	3.98964	45.2	35.5
Escherichia_7;size=1	1	4435	4	4435	100	3.90101	41.4	39.8
Lactobacillus_1;size=1	1	4268	15	4268	100	14.8845	44.8	33.6
Lactobacillus_2;size=1	1	4453	12	4453	100	11.8147	42.1	39.3
Lactobacillus_3;size=1	1	4258	13	4258	100	12.9002	43.7	37.8
Lactobacillus_4;size=1	1	4258	11	4258	100	10.8936	43.5	20.6
Lactobacillus_5;size=1	1	4453	7	4453	100	6.95845	43.1	32.9
Listeria_1;size=1	1	4291	15	4291	100	14.8809	43.4	3.53
Listeria_2_5;size=1	1	4291	16	4291	100	15.9149	43.6	5
Listeria_3;size=1	1	4542	8	4542	100	7.75363	42.3	3.62
Listeria_4;size=1	1	4542	8	4542	100	7.77235	42	3
Listeria_6;size=1	1	4291	9	4291	100	8.96411	44.6	4.56
Pseudomonas_1_2_3_4;size=1	1	4456	3	4455	99.9776	2.96432	42.6	60
Salmonella_1;size=1	1	4360	11	4360	100	10.9275	44.7	3.82
Salmonella_2_4;size=1	1	4360	6	4360	100	5.98326	42.9	4.83
Salmonella_3;size=1	1	4519	4	4519	100	3.96039	41.2	18.2
Salmonella_5;size=1	1	4519	1	4518	99.9779	0.999779	45.1	1
Salmonella_6;size=1	1	4360	3	4360	100	2.95917	34	2.67
Salmonella_7;size=1	1	4619	5	4619	100	4.2572	45	59
Staphylococcus_1;size=1	1	4466	7	4466	100	6.86856	44.6	34
Staphylococcus_2;size=1	1	4512	10	4512	100	9.96121	44.3	50.1
Staphylococcus_3;size=1	1	4516	6	4516	100	5.84322	45.3	44.8
Staphylococcus_4;size=1	1	4391	6	4391	100	4.95491	44	29.8
Staphylococcus_5;size=1	1	4424	10	4424	100	9.9627	45.3	50.8
Staphylococcus_6;size=1	1	4483	7	4483	100	6.97122	43.8	51.6
